
Richard Rottenburg
Michael Dorris
Dick Gregory
Janette Sebring Lowrey
Goddard, Steve
Marilyn Manson
Henry Beston
M. Barnard Eldershaw
Robert Harris (novelist)
Jaswant Singh
Meaghan Delahunt
J. Patrick Rooney
Donald Corley
Stephen Gately
Trey Hamburger
Marga T
B. Seebohm Rowntree
Robert Greene (American author)
Gilbert Adair
Scott Anderson (novelist)
Sutan Takdir Alisjahbana
Annalyn Swan
Bernard Lewis
Max Arthur
Hugh Masekela
Hollabaugh, Lorie
Umberto Eco
Kathryn Fox
Charlene Li and Josh Bernoff
Rex Pickett
Damon Knight
Audrey Couloumbis
Nigel Collett
Chester Himes
Richard Condon
Martha Witt
Chris Zook
Cathy Cassidy
Noel Streatfeild
Shepherd Mead
Richard Bookstaber
Charles Mingus
Karrine Steffans
Daniel Kehlmann
Donald Trump
George Barr McCutcheon
Louisette Bertholle
Deckard Cain
Sorush Pakzad
Thomas Keneally
Ann Rinaldi
Sidney Sheldon
Ronald Wright
Nevil Shute
Zoey Dean
Russell Hoban
Tom Robbins
Salman Rushdie
Bruce Sterling
Charles J. Hanley, Sang-hun Choe, Martha Mendoza
Philip Reeve
High Times staff
Mircea Cărtărescu
Samuel Hopkins Adams
Kim Edwards
Caroline Leavitt
James Siegel
Myles Horton
David Nussbaum
Evie Wyld
Tulis Sutan Sati
Kim Il-sung
Philip Pullman
Andrew Ross Sorkin
Clive Cussler
Rilla Askew
Leslie Rees (author)
Gail Carson Levine
Philip Ardagh
Huck Gutman
Ross Leckie
Kerry Katona
Ann Finlayson
Alastair Campbell
Andy Griffiths
Matt Richtel
Joey Goebel
Barton Gellman
LeAnne Howe
Neil Strauss
John Lahr
Achdiat Karta Mihardja
Micah Nathan
W.P. Kinsella
Anita Shreve
Kim Scott
Maya Angelou
John Saul
Michael Coney
Nelson DeMille
Dave Wolverton
Patrick deWitt
Dennis Cooper
Dennis Wheatley
Matt Taibbi
78
Carter, Jimmy
Sandra Blakeslee
Marguerite Henry
Hazel Rowley
Dan Rhodes
Lacey
Kazimierz Moczarski
Vaikom Muhammad Basheer
Michelle Tea
David Sherman
Helen Waldstein Wilkes
Francis Tandy
Avinash Dixit
Adrienne Rich
Anna Myers (novelist)
Joe R. Lansdale
Motojirō Kajii
John Kessel
C. S. Godshalk
Stephen Macknik
David Orchard
Rajiv Malhotra
Marie G. Lee
Geraldine McCaughrean
Bill McKibben
Alexander Chee
Cybèle Young
David G. Compton
Steve Turner (writer)
Gordon S. Wood
Evan Hunter
David Shafer (author)
Marjory Stoneman Douglas
Christopher Buehlman
Vern Sneider
Malcolm Gladwell
Ian McEwan
Mary Augusta Ward
Ian Stewart (mathematician)
Kurt Vonnegut
Greg Mortenson
Dumas Malone
Rainer Maria Rilke
Robert Fisk
Paul Muolo
ILYA
Dennis T. Avery
Joyce Carol Oates
Mildred D. Taylor
Katherine Paterson
Neil Ardley
Rob Tannenbaum
Scott Berry
Malka Marom
Henry James
John Gordon (author)
Lawson Fusao Inada
Kinney Zalesne
Dymphna Cusack
Barry Unsworth
J. R. R. Tolkien
Rajaa Alsanea
Yann Martel
Stephen Birmingham
Harold MacGrath
Ian Caldwell
Kaisa Jaakkola, Heta-Leena Laine, Jari Rantschukoff
Cooper, Peter
Chilton, Martin
Khadija Mumtaz
Paul Levinson
Cory Doctorow
Santo Cilauro
Daisy Christodoulou
Nicole Krauss
Sean Ellis
Carolyn Keene
Charles Stross
Alan Taylor (historian)
Annie Lubliner Lehmann
Anthony Bourdain
John G. Hemry
Mark Andrew Olsen
Harper Lee
Cecelia Ahern
E. V. Timms
F. Springer
Ivy Compton-Burnett
Leni Riefenstahl
Katharine Susannah Prichard
Claire Shipman
Dag Schjelderup-Ebbe
Arthur Koestler
Jennifer Roberson
Brian Aldiss
Thomas Sowell
William March
Nonie Darwish
Bill O'Reilly (commentator)
Pat Murphy (writer)
Car Connection staff
Martin Boyd
Jackie Collins
Patricia St. John
Ben Wattenberg
Eric Flint
Tim Kaine
Greg Child
Helen Frost
Grady Hendrix
Mark Budman
Annette Gordon-Reed
Richard Ford
Joyce Maynard
G. K. Chesterton
Laurie Duggan
Mildred S. Flaherty
Stephen J. Dubner
John Barrowman
Shelby Steele
Calla Wiemer
Deborah Mitford
M. Mukundan
Doug Beason
Kane, Coleen
Michael North (professor)
Ian Rowley
Robert D. Hare
Chikamatsu Monzaemon
Caroline Snedeker
General Mills
Katrina Karkazis
John F. Kennedy
Chris Wooding
Margo Jefferson
Mel Bay
Sarah Palin
Alex Shakar
Michael Bishop (author)
Agnes Smedley
Lawrence Hill
André Malraux
A.M. Jones
Leslie Marmon Silko
Richard Hamilton
Vlatko Vedral
Al Kooper
Eric Idle
Houston Chronicle staff
James A. Michener
Malayattoor Ramakrishnan
Fred Singer
Brian Jacques
Raymond Williams
Hiroshi Yuki
Thomas King (novelist)
Benyamin (writer)
Chris Elliott
Alkek Library staff
J. Ryan Stradal
Ayu Utami
Steve Coll
Marjorie Garber
Caryl Rivers
Grigoris Balakian
Florence James
Tasmina Perry
Allegra Goodman
Spider Robinson
Marsha Hunt (singer and novelist)
Alfonso Vegara
Pierce Brown
Bob Dylan
Patrick Carman
Leroy F. Aarons
Gary Taubes
Martin Mitchinson
Megan Kachari
Daniel J. Boorstin
Rupert Smith
Anita Desai
Alice Sebold
Holden, Larry
Joël Glenn Brenner
Colin Meloy
Nicky Hager
Soul Underground
April Stevens
Steven Kotler
Martin Shaw (composer)
Lydia Chukovskaya
Elizabeth Orton Jones
Thomas Bass
Brian Cox (physicist)
Baroness Orczy
Susan M. Watkins
Stephen Wolfram
Thakazhi Sivasankara Pillai
Morris West
Peter H. Diamandis
K M Grant
Alexander Gordon Smith
Manohar Malgonkar
Joe Posnanski
Jeff Shaara
Thomas Woods
Elyne Mitchell
Government of the United Kingdom
Alexandra Gray
Meg Medina
Barry J. Nalebuff
St Clair Drake, and Horace Cayton
Nancy Mitford
Cheryl K. Olson
Robert Christgau
Norman Lindsay
Michael Ondaatje
Ji-li Jiang
Jawaharlal Nehru
Keith Richards
Ben Mezrich
Walter Mosley
Christina Scull
Jeremy Wilson
Frederick Starr
Jude Watson
James Fox (journalist)
Michael Farquhar (author)
Alison Lurie
Tucker Max
Katherine Dunn
Panos Karnezis
L. Frank Baum
Angie Sage
Andrew Altman
John Bradshaw
Lindsey Davis
Declan Dunne
David G. Hartwell
Thomas J. Cutler
Giles Whittell
G. K. CHESTERTON
Linden MacIntyre
Michael Lewis
Robert Cormier
NPR Staff
Edward Bulwer-Lytton
Roy Richard Grinker
Chris Salewicz
Richard Panek
Sullivan
Simon Kernick
Stephen Graham Jones
Wesley J. Chun
Linda Johns
Bruce Cordell
Suelette Dreyfus
Kit Pearson
Hall, Michael
Samrat Upadhyay
Myla Goldberg
Barry Hughart
Chris Tebbetts
John Grisham
Michael Dahlie
Johnston, David Cay
Vladimir Nabokov
Ralph Helfer
J. M. G. Le Clézio
Manuel Valls
William Shatner
Russell Freedman
Fredrik Backman
Chitra Banerjee Divakaruni
Eleanor Dark
Anne Laurel Carter
Christina Lamb
Upton Sinclair
Erich von Däniken
David Herter
Gladys Schmitt
Mark Mills (writer)
John Mearsheimer
L. Sprague de Camp
Michael Dertouzos
Robert V. Bruce
Brian Stelter
Rona Jaffe
MD
John Jantsch
William Nicholson (writer)
Frances Itani
Gregory Zuckerman
Dave Eggers
Noam Chomsky
Rosa Praed
Alice Hegan Rice
Edward P. Jones
Mark Crick
Roddy Doyle
Piers Anthony
Mick Foley
John W. Chater
Jack McDevitt
Robert Silverberg
Langer, Andy
Mo Hayder
Marsha Canham
Ben Mikaelsen
Thomas J. Sugrue
Dominika Dery
Garson Kanin
Kathleen M. Eisenhardt
Richard Powers
Jerry I. Porras
Roger Scruton
David G. Bromley
James Franco
Jennifer Brown (author)
David Gelernter
Andrew McGahan
Jonathan Mahler
Nelson, Willie
Maziar Bahari
Yitzhak Rabin
Ivan Southall
Greg Cox (writer)
Robert Coover
Seamus Heaney
Anne Tyler
John F. Hughes (computer scientist)
John C. Arvin
Mitchell Zuckoff
Lauren Kate
Anita Nair
Martin Amis
Thea Astley
Matthew Quick
Vince Rause
Ion Idriess
Gerald Durrell
Simone Beck
John DeFrancis
Archibald Putt
Philip Larkin
Gary D. Schmidt
Laura Ingalls Wilder
Christian Gailly
John Adamson (publisher)
Robert Stone (novelist)
Ursula Hegi
Scarlett Thomas
Laina Dawes
David McCullough
Andy Collins (game designer)
Richard Preston
Burton Malkiel
Randolph Stow
Sharon Draper
Susan Meddaugh
Jennifer Haigh
Don DeLillo
Anne Coleman
Debby Applegate
R. Zamora Linmark
Colin Wilson
Henry Handel RICHARDSON
Gloria Skurzynski
Naguib Mahfouz
Lisa Scottoline
Uroob
Laurie R. King
Nicholson Baker
Jenny Lawson
Mary Ann Shaffer
Gerald Clarke (author)
Barbara Kingsolver
Krebs, Albin
Finn Benestad
Clive King
Reginald Johnston
F. Sionil José
K. Shivaram Karanth
Trenton Lee Stewart
Stewart Myers
Hal Porter
Jane Smiley
Richard Morgan (author)
Gardner Bovingdon
Jacques Barzun
Jim C. Collins
Alan Garner
Julia Ward Howe
Leon Cooper
Boris Johnson
Max Tegmark
Thomas Hardy
Tom Reiss
Donald Kingsbury
Timothy Tyson
Daniel Wallace (author)
Auguste Escoffier
Bertram Stevens (critic)
Robin D. G. Kelley
Pierre Rigoulot
James MacGregor Burns
M. P. Shiel
Armijn Pane
Ken Uston
Jon Cleary
Joseph Stiglitz
Linda Benson
Tracy Hickman
Kaui Hart Hemmings
David Sedaris
Mori Ogai
Anthony Sampson
Timothy D. Snyder
Brad Meltzer
Adam Johnson (writer)
John Updike
Dorothy Johnston
Elizabeth Winthrop
Julia Child
Geneviève Huriet
Ruth Prawer Jhabvala
Richard M. Scammon
Margaret Deland
Mark D. McDonnell
Eric Walters
Michael Z. Williamson
Penny Hancock
Fred Goldstein
Bethany McLean
Amy Chua
Minette Walters
Kevin R. Cope
Dean Acheson
Claire Finkelstein
Nick Leeson
Neeta Shah
Erik Larson (author)
William Shakespeare
Michael Punke
Douglas Bullard
Mick Mars
Pete Dexter
Robert Conroy
Mary Renault
Kylie Tennant
Tim O'Brien (author)
Rick Moody
Vince Neil
Colum McCann
Justin Rudelson
Richie McMullen
BBC News staff
Wendy Fonarow
Jerry Pournelle
Sharon Kay Penman
Amter, Charlie
Ellen Fein
Sara Creasy
Stanley W. Toops
M.J. Sullivan
George MacDonald Fraser
Oliver Sacks
Unity Mitford
Wendy Doniger
Ernest Cline
Jonathan N. Lipman
Arnould Galopin
Hampton Sides
Gene Sharp
Robert T. Bakker
Carole Barrowman
Blanche Barton
Jean-Louis Bory
Hunt, Ernest E. IV
Jean Little
Cristina García (journalist)
Kenneth Johnson (producer)
O'Hare, Kevin
Ted Dekker
Stephen King
Andrew Dalby
Ping Fu
Rob Sitch
Nikki Sixx
Maggie Leffler
Nan Chauncy
William Bert Emison
Anne Perry
Susanna Quinn
Carl Hiaasen
James B. Stewart
David R. George III (writer)
NPR staff
Doc Searls
Jonathan Safran Foer
Ovid Demaris
Charles Major
Armin Shimerman
Charles C. Mann
Michael Lewis (author)
Franklin Allen
Frances Parkinson Keyes
Erich Origen, Gan Golan
Norman Tindale
Patricia Wrightson
C. B. McKenzie
Erin Hunter
Alan Dean Foster
Herbert and Mary Knapp
V. K. N.
Princess Märtha Louise of Norway
Sebastian Barry
Ronald Skirth
Ève Curie
William Gibson
J. Robert Lilly
Manlio Argueta
Allan Massie
William D. Cohan
Kate Thompson (author)
Melissa Bank
Betina Krahn
Ian Bremmer
Ethan Canin
Patricia Nell Warren
Stephen Colbert
Ben Marcus
Ellen Glasgow
Margaret Atwood
Bård Ylvisåker
Peter Costello
Mark Penn
Fort Worth Star-telegram staff
Charles Taylor (philosopher)
Ray Oldenburg
Louis Sachar
Alfred Kern
Gillian Slovo
J. Gordon Melton
Dave Barry
Robert A. Heinlein
Alastair Reynolds
Bette Bao Lord
Rachel Klein (novelist)
Andre Williams
Douglas Adams
Mark Helprin
Anna Sewell
David Baldacci
Shane Dix
Michael Moorcock
Sandra Cisneros
E. M. Corder
George Will
Connie Bruck
Fannie Flagg
Maeve Binchy
John Varley (author)
Robert Allen (poet)
Arthur C. Clarke
Azadeh Moaveni
Sean R. Roberts
Dan Simmons
Celeste Ng
Laila Lalami
Hans Maarten van den Brink
Sean Williams (author)
Samuel BUTLER
Chaohua Wang
Willa Sibert CATHER
A.C. Crispin
Rambhadracharya
Quang Nhuong Huynh
Sherwood Anderson
Zee Edgell
Sinclair Lewis
Jeremy Rifkin
Marilynne Robinson
K.M. Soehnlein
Robert J. Sawyer
Gemma Almond
Tobias S. Buckell
Mark Stevens (film critic)
Anne Parrish
Gwyn Hyman Rubio
Richard Hillary
Roland Smith
Kate Atkinson
Jerry Spinelli
Howard Marks
Richard Wright (author)
Hermann Scheer
Art Pepper
Katherine Ayres
E. E. Smith
Nigel Cawthorne
Joseph Ellis
Dizzy Gillespie
Viscount Linley
Morley Callaghan
Mape Ollila
Rolf Boldrewood
Seth MacFarlane
Wilbur Smith
Jonathan Freedland
James A. Millward
Anne Gussin Faigen
Matthew Simmons
Michael Fellman
Ellis Avery
Winifred Birkett
Cynthia Kadohata
Gary Paulsen
The Three Doctors (motivational speakers)
James Howe
Geoff Ryman
Stephanie S. Tolan
R. D. Fitzgerald
Chagollan, Steve
Neil Gaiman
K.J. Taylor
Rosemary Kirstein
Scott Patterson (author)
Ruth Ozeki
Samantha Shannon
Eva Ibbotson
Mike Hulme
Barbera Wersba
Anthony Bozza
Joe Meno
Hal Clement
Andy Greenwald
David Ebershoff
Christopher Isherwood
Peter Singer
Brian Evenson
Jennifer McMahon
K. A. Applegate
Ushnas
Edward M. Lerner
Bapsi Sidhwa
Susan Cain
Nirad C. Chaudhuri
Tom W. B. Kibble
Steve Keen
Victor Daley
Anne Fine
Christina Schwarz
Peter Schiff
Bharati Mukherjee
Philip Beard
Luke Rhinehart
Jonathan Coe
J. M. Coetzee
Joseph O'Neill (born 1964)
Charlotte Wood
G. Harry Stine
Steve Perry (author)
Sue Townsend
Donald E. Brownlee
Daniel Yergin
Colm Tóibín
Philip José Farmer
A. N. Wilson
Sapphire (author)
Kazuo Ishiguro
Steven Levitt
George Harrison
Craig Clevenger
Dru C. Gladney
David Whitaker (screenwriter)
Jane Espenson
James P. Hogan (writer)
Yoko Mori
Alice Sheldon
John Creasey
Louis Saulnier
David Guterson
Jane Roberts
Olaf Olafsson
Alexandra Sirowy
Howard Waldrop
John Irving
Martin Allerdale Grainger
Edmund Morris (writer)
Nando Parrado
David Walliams
Ian Ogilvy
Carl N. Degler
M. K. Menon
Stan Goldstein
Henri Alleg
William Ury
Marc Okrand
Marie Wadden
Joel Comm
Julia Scheeres
Nien Cheng
Liza Potvin
Dunn, Jill
Linda Hayward
Peter Elkind
Kaye Gibbons
Peter Magadini
Rudolfo Anaya
Sam Smith (sportswriter)
Bill Peet
Sherrie Schneider
Rhys Isaac
George Turner (writer)
David Michaels (author)
Alice Hoffman
Paula Fox
Jibanananda Das
Chelsea Handler
Tim Kring
Daniel B. Perrin
Vicky Spring
